Angular frequency	Step time	Temperature	Oscillation strain	Oscillation stress	Tan(delta)	Storage modulus	Loss modulus
rad/s	min	°C	%	MPa		MPa	MPa
6.28319	13.4834	-23.707	0.136180	1.30947	0.173288	947.453	164.182
6.28319	13.5334	-23.547	0.136534	1.30041	0.173772	938.379	163.064
6.28319	13.5834	-23.408	0.136336	1.28499	0.175424	928.338	162.853
6.28319	13.6334	-23.248	0.136339	1.27380	0.175900	920.162	161.856
6.28319	13.6834	-23.108	0.136447	1.26264	0.176517	911.288	160.858
6.28319	13.7334	-22.964	0.136497	1.24902	0.177329	900.990	159.771
6.28319	13.7834	-22.822	0.136291	1.23655	0.177743	893.287	158.776
6.28319	13.8334	-22.700	0.136397	1.22618	0.178381	885.008	157.868
6.28319	13.8834	-22.526	0.136518	1.21336	0.179316	874.839	156.872
6.28319	13.9334	-22.376	0.136334	1.20125	0.180491	867.095	156.503
6.28319	13.9834	-22.225	0.136236	1.19129	0.180681	860.496	155.475
6.28319	14.0334	-22.070	0.136039	1.18410	0.181221	856.463	155.209
6.28319	14.0834	-21.902	0.136390	1.17732	0.181663	849.296	154.285
6.28319	14.1334	-21.757	0.136499	1.16513	0.181932	839.794	152.785
6.28319	14.1834	-21.603	0.136429	1.15292	0.182329	831.370	151.583
6.28319	14.2334	-21.445	0.136318	1.14231	0.183006	824.283	150.849
6.28319	14.2834	-21.284	0.136439	1.13177	0.183865	815.834	150.004
6.28319	14.3334	-21.167	0.136523	1.12044	0.184485	807.079	148.894
6.28319	14.3834	-21.004	0.136350	1.10790	0.185130	798.969	147.913
6.28319	14.4334	-20.840	0.136331	1.09821	0.185087	792.093	146.606
6.28319	14.4834	-20.683	0.136477	1.08842	0.186286	784.022	146.053
6.28319	14.5334	-20.543	0.136270	1.07761	0.186871	777.336	145.262
6.28319	14.5834	-20.399	0.136440	1.06874	0.187260	769.926	144.176
6.28319	14.6334	-20.260	0.136464	1.05726	0.187806	761.440	143.003
6.28319	14.6834	-20.122	0.136158	1.04800	0.188524	756.370	142.594
6.28319	14.7334	-19.960	0.136276	1.04170	0.188929	751.115	141.907
6.28319	14.7834	-19.810	0.136229	1.03345	0.189745	745.313	141.419
6.28319	14.8334	-19.678	0.136728	1.02371	0.189947	735.563	139.718
6.28319	14.8834	-19.505	0.136495	1.00953	0.190611	726.528	138.484
6.28319	14.9334	-19.344	0.136449	0.997654	0.191016	718.169	137.182
6.28319	14.9834	-19.201	0.136258	0.989751	0.191581	713.404	136.675
6.28319	15.0334	-19.068	0.136518	0.981583	0.191826	706.137	135.455
6.28319	15.0834	-18.925	0.136376	0.970334	0.193186	698.597	134.959
6.28319	15.1334	-18.747	0.136293	0.961741	0.193372	692.806	133.970
6.28319	15.1834	-18.583	0.136451	0.953717	0.193535	686.212	132.806
6.28319	15.2334	-18.450	0.136405	0.943754	0.194417	679.159	132.040
6.28319	15.2834	-18.282	0.136369	0.935446	0.194717	673.320	131.107
6.28319	15.3334	-18.141	0.136710	0.925347	0.195035	664.353	129.572
6.28319	15.3834	-18.012	0.136526	0.912438	0.195939	655.855	128.507
6.28319	15.4334	-17.834	0.136306	0.903515	0.196558	650.414	127.844
6.28319	15.4834	-17.664	0.136521	0.894790	0.196551	643.120	126.406
6.28319	15.5334	-17.487	0.136598	0.884320	0.197552	635.116	125.469
6.28319	15.5834	-17.344	0.136208	0.875182	0.197112	630.403	124.260
6.28319	15.6334	-17.190	0.136344	0.868568	0.198899	624.800	124.272
6.28319	15.6834	-17.065	0.136546	0.859072	0.199199	617.024	122.911
6.28319	15.7334	-16.918	0.136257	0.850976	0.199828	612.428	122.381
6.28319	15.7834	-16.761	0.136613	0.843309	0.200115	605.298	121.129
6.28319	15.8334	-16.593	0.136702	0.833121	0.200937	597.499	120.059
6.28319	15.8834	-16.457	0.136446	0.820941	0.201045	589.856	118.588
6.28319	15.9334	-16.315	0.136116	0.814045	0.201766	586.237	118.283
6.28319	15.9834	-16.154	0.136601	0.808275	0.201494	580.047	116.876
6.28319	16.0334	-15.985	0.136232	0.799243	0.202076	575.054	116.205
6.28319	16.0834	-15.823	0.136285	0.793720	0.203195	570.736	115.971
6.28319	16.1334	-15.678	0.136448	0.786380	0.203206	564.780	114.767
6.28319	16.1834	-15.549	0.136302	0.778789	0.203783	559.865	114.091
